ID;DATE;FISCAL YEAR;MONTH;MONTH DESC;MONTHDAY;WEEKDAY;WEEKDAY DESC;DAY DESC;CWEEK;QUARTER;YEAR-QUARTER;HALFYEAR;YEAR-HALFYEAR
109;2015-04-20;2015;4;April;20;1;Working Day;Monday;16;Q2;2015-Q2;H1;2015-H1
110;2015-04-21;2015;4;April;21;2;Working Day;Tuesday;16;Q2;2015-Q2;H1;2015-H1
111;2015-04-22;2015;4;April;22;3;Working Day;Wednesday;16;Q2;2015-Q2;H1;2015-H1
112;2015-04-23;2015;4;April;23;4;Working Day;Thursday;16;Q2;2015-Q2;H1;2015-H1
113;2015-04-24;2015;4;April;24;5;Working Day;Friday;16;Q2;2015-Q2;H1;2015-H1
114;2015-04-25;2015;4;April;25;6;Weekend;Saturday;16;Q2;2015-Q2;H1;2015-H1
115;2015-04-26;2015;4;April;26;7;Weekend;Sunday;16;Q2;2015-Q2;H1;2015-H1
116;2015-04-27;2015;4;April;27;1;Working Day;Monday;17;Q2;2015-Q2;H1;2015-H1
117;2015-04-28;2015;4;April;28;2;Working Day;Tuesday;17;Q2;2015-Q2;H1;2015-H1
118;2015-04-29;2015;4;April;29;3;Working Day;Wednesday;17;Q2;2015-Q2;H1;2015-H1
119;2015-04-30;2015;4;April;30;4;Working Day;Thursday;17;Q2;2015-Q2;H1;2015-H1
120;2015-05-01;2015;5;May;1;5;Working Day;Friday;17;Q2;2015-Q2;H1;2015-H1
121;2015-05-02;2015;5;May;2;6;Weekend;Saturday;17;Q2;2015-Q2;H1;2015-H1
122;2015-05-03;2015;5;May;3;7;Weekend;Sunday;17;Q2;2015-Q2;H1;2015-H1
123;2015-05-04;2015;5;May;4;1;Working Day;Monday;18;Q2;2015-Q2;H1;2015-H1
124;2015-05-05;2015;5;May;5;2;Working Day;Tuesday;18;Q2;2015-Q2;H1;2015-H1
125;2015-05-06;2015;5;May;6;3;Working Day;Wednesday;18;Q2;2015-Q2;H1;2015-H1
126;2015-05-07;2015;5;May;7;4;Working Day;Thursday;18;Q2;2015-Q2;H1;2015-H1
127;2015-05-08;2015;5;May;8;5;Working Day;Friday;18;Q2;2015-Q2;H1;2015-H1
128;2015-05-09;2015;5;May;9;6;Weekend;Saturday;18;Q2;2015-Q2;H1;2015-H1
129;2015-05-10;2015;5;May;10;7;Weekend;Sunday;18;Q2;2015-Q2;H1;2015-H1
130;2015-05-11;2015;5;May;11;1;Working Day;Monday;19;Q2;2015-Q2;H1;2015-H1
131;2015-05-12;2015;5;May;12;2;Working Day;Tuesday;19;Q2;2015-Q2;H1;2015-H1
132;2015-05-13;2015;5;May;13;3;Working Day;Wednesday;19;Q2;2015-Q2;H1;2015-H1
133;2015-05-14;2015;5;May;14;4;Working Day;Thursday;19;Q2;2015-Q2;H1;2015-H1
134;2015-05-15;2015;5;May;15;5;Working Day;Friday;19;Q2;2015-Q2;H1;2015-H1
